Name,Count,Device,Value,Package,Description
"C1,C2",2,CAP_CERAMIC-_1206,10uF,_1206,""
"C3,C4,C6,C7,C9,C10,C12,C13",8,CAP_CERAMIC-0805-NOOUTLINE,0.1uF,0805-NO,""
"C5,C8,C11,C14",4,CAP_CERAMIC-0805-NOOUTLINE,10nF,0805-NO,""
"FB1,FB2,FB3,FB4",4,FERRITE--0805NO,,0805-NO,""
J1,1,CONN_12-NO_SILK,,1X12_NO_SILK,""
J2,1,CONN_16-1X16_NO_SILK,,1X16_NO_SILK,""
Q1,1,TRANS_NPN--MMBT2222AL,600mA/40V,SOT23-3,""
R1,1,RES-0603,1k,0603,""
"R2,R4,R6,R8,R10",5,RES-0603,10k,0603,""
R3,1,RES-0603,2k,0603,""
"R5,R7,R9,R11",4,RESISTOR-0805_NOOUTLINE,4300Î© 0.1%,0805-NO,""
RTD1,1,CONN-16-ZT,,CONN-2X8-050-SMT-ZT,""
U1,1,VREG_SOT23-5,MIC5225-3.3,SOT23-5,""
U2,1,AT21CS01,,SOT23,""
"U3,U4,U5,U6",4,TEMP_MAX31865,MAX31865,QFN20_4MM_0.65MM,""
